id,region,year,text,sentiment,dimensions
1,Australia,2025-10,"Looks attractive, the company offers good treatment",positive,Inclusion
2,Australia,2025-10,"Forward thinking, approachable management and great environment",positive,Belonging
3,Australia,2025-10,"If you get a great team, work is fun and engaging.",positive,Collaboration
4,United Kingdom,2025-09,Generous pay and benefits Lovely offices and people,positive,Belonging
5,American,2025-07,Generally good culture however its team and leader dependent.,positive,Collaboration
6,Singapore,2025-07,"Friendly colleagues, who are willing to share their experiences",positive,Belonging
7,American,2025-06,Always get a pay increase each year,positive,Recognition
8,American,2025-07,Flexibility and Parental Leave for all employees,positive,Inclusion
9,Australia,2025-06,"Good, technically minded, hard working people",positive,Belonging
10,United Kingdom,2025-06,"Colleagues, healthy culture, and good benefits",positive,Belonging
11,Australia,2025-09,great people and challenging work,positive,Collaboration
12,American,2025-09,"High Salary, Unlimited sick leave",negative,Recognition
13,American,2025-09,Good corporate values People centric,positive,Belonging
14,Canada,2025-09,"Really nice and good people, positive culture focused around company values.",positive,Belonging
15,Australia,2025-06,Good recognition of technical professionals Dynamic workplace with many opportunities to learn,positive,Belonging
16,South Africa,2025-06,Good Benefits Growth opportunities Training and study opportunities,positive,Belonging
17,Australia,2025-05,You are on your own,positive,Respect
18,Singapore,2025-06,Pay and benefit is good,positive,Recognition
19,American,2025-06,Salary and benefits Colleagues are great to work with Decent facilities and tools to do your job,positive,Belonging
20,Australia,2025-05,"Good team, Enjoy the working culture",positive,Collaboration
21,Canada,2025-06,"Salary , enviroment depending on product group",positive,Recognition
22,Australia,2025-06,"Good benefits: private health, pension, phone, flexi working",positive,Inclusion
23,Australia,2025-09,Great company and culture with good benefits.,positive,Belonging
24,Australia,2025-06,"Good people to work with, good office. Work-life balance based on the role and the location of the peers. Good money compared to the market average.",positive,Belonging|Collaboration|Recognition
25,Australia,2025-05,"Health benefit, FF points, Some good ppl in other departments",positive,Belonging
26,Australia,2025-09,"The hard work pays off with great pay and benifits, loads of quality training. Lots of great oppitunties.",positive,Recognition|Belonging
27,United Kingdom,2025-05,Good office with smart people,positive,Collaboration
28,American,2025-05,"Good employee benefits, inclusive of family benefits",positive,Inclusion
29,American,2025-05,Great colleagues and great location,positive,Belonging
30,Australia,2025-05,Flexible working arrrangement Got to work with multiple technical stack,positive,Collaboration
31,American,2025-04,"Great parental leave, benefits and share plan",positive,Inclusion
32,American,2025-04,Good working environment and supportive management,positive,Belonging
33,Canada,2025-04,Pat leave and work culture,negative,Respect
34,American,2025-05,Great people Great talents Decent leadership Improving site culture,positive,Belonging
35,Australia,2025-05,Good pay Good benefits Even time roster,positive,Recognition
36,American,2025-05,Good pay and perks Opportunities to travel and move around with work,positive,Recognition
37,American,2025-04,"Great flexibility, good people, good benefits",positive,Belonging
38,Australia,2025-04,"Rio are very much people first, where they will look after you and look at how they can support you better",positive,Belonging
39,United Kingdom,2025-04,good company to work for,positive,Belonging
40,American,2025-04,No real pros to the job.,negative,Belonging
41,Singapore,2025-04,Great culture and people. Good pay.,positive,Belonging
42,Singapore,2025-03,Company is good and cares for employees,positive,Belonging
43,Australia,2025-04,"Good salary, good benefits like health insurance",positive,Recognition
